text,predicted_emotion
new tub means shower 3 days showering kick,positive
still hoping hear back u,negative
exams start tomorrow,negative
good lolz,positive
hi david im steph u call stephie love album cant wait another one love steph,positive
wasnt mine coworkers someone bumped flew hand,negative
im sick got ta go dr 3,negative
heyyy miss mag summer hols already right im jealous want holidays haha,negative
cant get blog tv work,negative
life scares living sometimes bad good luck finding youre looking,negative
nyc today mtv unplugged taping f u mtv,positive
lol almost came tonight seen ur away love u,positive
assistance least share universe often follow advice,positive
going home drunk,negative
booked flights,positive
wot braw day turned ti b,negative
lol goober,positive
heh ho,positive
pretty good got ta help dad type huge thing summer job hunting ew decide school,positive
new iphone app appstore big fan,negative
finished polos cant reach othe 18 rolls,negative
horrible day farnothing going according plan power also 6 hrs,negative
bad day,negative
hugs welcome growing baby girl welcome growing need talk find,positive
hey lazy bones,positive
getting learning wonderful day everyone,positive
alright dude performances retarded though got display art well,negative
yes saw news report cnn awhile ago sad,negative
britney manchester tonight bummer,negative
last show tomorrow quotthe wizard ozquot im going sad going wont get see everyone 5 days week anymore,negative
going miss aunt nene alot super tired zoo fun busy weekend ahead,negative
lol yeah ure right sometimes fail cant comand fellings,negative
thanks didnt get yet cuz ordered online hah,negative
editing late tonight,negative
wrist strap phone broke ffs,negative
feel way diving 830 though,negative
seriously contemplating timing next trip home catch next fight show cinemas live beer,negative
sick bed gon na cancel soccer weekend,negative
watching tv bed soon calltextt love adam ãââ miss baby,positive
noone tweeeeting sunbathing revising supposey,positive
yeahh recognised photo,positive
ah lovely,positive
quota watched pot never boilsquot anyone else see significance phrase must trust let go important peace,positive
nothing gets like rain pouring 3 days row thank god monday 4 day rain predicted,negative
watching sun sink behind mountains realizing get 2 times like sunset prairie better,positive
loves way starts conversation,positive
yes im getting sims 3 already new laptop,negative
sorry hear foot understand 2 bad ankles took xpress rte top trailer 136 hit concrete,negative
rant spoilers supernatural torchwood star trek promise lol xd im upset sam amp dean spn,positive
venn genius hilarious thanks sharing,positive
please want,negative
morning everyone fun night last night,positive
daanny hope awesome night great day fun,positive
see hair floor,negative
want singing two songs,positive
take boys football training wish raining didnt go cold outside,negative
aha learned new word today nuisance,positive
ahhh knowww saw may 5th 6th newcastle good im soo excited 6th june bday aswell,positive
meeting get sleep im still tired 36 hours awake need sleep know sad,negative
esia palringo twitter gtalk hmmmm distance nothing,positive
wow really fathers day damnmissin dad hope hes watchin anyways,negative
working today cant find key borrow mirandas,negative
reporting something terribly wrong w twitter couldnt sign account time,negative
thats fair,positive
nice,positive
link doesnt work,negative
cornfest lovely day ruby alissa,positive
thinks someone may keyed car big scratches hood,negative
aww maan didnt watch penguins game forgot well fun time tonight going sleep,negative
didnt get meet today,positive
slow work today,negative
good morning hope everyone great weekend,positive
gon na go swimmingwell like sit steps pool read still feeling crappy phsyical activity,negative
tummy hurts,negative
time,positive
think killed big toe,negative
dildoinvitation sounds psychodelicious p shes psykohot,positive
hiiii dreeeeee,negative
lovin friday night hope,positive
see star trek,positive
global studies work doll face girl,positive
whew night nowwedding day gon na crazy busyi ãââ kristenamp kevin,positive
well lil tired long days work though post blog,positive
fellow coders help issue layout java stuff bit fubar,negative
going back storage,negative
wth man im hungry im guessing use twitter feel like kuz wont ever eat,negative
went went counter realised id wasnt aloud,negative
quotputquot peeps,positive
listened heregoesnothing wanted play tap tap tomato,negative
sarthak says released hindi lets wait,negative
shreding throwing away school books quite relaxing sad dont think im ready new start,negative
headache hair wild means bedtime,negative
hey ran christine amp george v alumni event friday talkin aboutcha heard good news,positive
finished bffs birthday present amazing,positive
miss heat desert,negative
exactly thought,positive
fun ended buying scala book,positive
damn took nap last liked 3 hours longer planned ill never fall asleep later,negative
haha yey im new lol,positive
lol um yea thats still wishful thinking saturdays playing radio lab loblaws still sucking,negative
sudden desire get car drive florida day tomorrow back work 6am tuesday though,negative
bugger still light sunsets must really early,negative
true love doesnt happy endinq true love never ends lettinq qo one way sayinq love,positive
need motivation homework thats due like 2 hours lol,negative
really want spin today must pack,negative
name jim popped head morrison also like thurston ive listening sonic youth,negative
really miss ntuc gardens,negative
oh way saw pictures im kicking going,negative
boyfriend chad,positive
craziest movie evar book better though,positive
thinks jades mother mean,positive
got morning youd know supposed 25c today,negative
bahahhahaha thank owgers aware,positive
bet teeth hurt smilin much,negative
sitting around msn messenger sick,negative
murderer please dont kill love,positive
youd scared tooo,positive
oh bear mind poor,negative
cool looks forward hearing bgt party tomorrow hope subo ok bless,positive
good day fellow earthlings,positive
four shots novacaine mouth right cheek totally numb booo,negative
sorrento 4 weeks tanning eating drinking tanning walking eating sleeping drinking bliss,negative
thats good cant say nothing portuguese caipirinha,positive
thanks thanks,positive
happy birthday come party canada birthday party ur north haha,positive
im home,negative
kill bill star found dead apartment,negative
fantastic fascinating person,positive
youre welcome,positive
miss lakers already dont know get vacay time hurry back,negative
tutorial great must get better graphics,positive
ok time work wait 930pm 930am isnt something wrong whole situation,negative
stopped watching star trek watch bachelorette thats shame,positive
washing comp greatmore people fab atmosphere 1st dist 2nd exp sess,negative
hear stop making jealous im upset didnt get finish update,negative
gave dog away today sad,negative
ask favor mark joyner want parody fight club video,positive
found tv old digital set top box thingy looks like abc2 wait,negative
weirdest night long time haha goodnight,positive
love jonas best show think,positive
quotjust got called gay live quot,negative
sore need back rub,negative
im 25 male live slovenia europe love profile picture twitter,positive
tso beautiful day im walking,positive
home fiddle hate getting colds,negative
lol thanks thats fedor fave,positive
hmm well new hillarious photos ipod cant post,positive
rochelle left disneyland yesterday school think heartattack couldnt find lunch totally tantrum,negative
seems like easy answer people problems wear shorts,negative
miss cailin alreadyy whole 5 days,negative
schoooll gon na fun picnic today,negative
really like chinese food lot,negative
highly recommends join wwwm2easia earn money free shareholder dividends even nothing,positive
demo twitter facebook went fast well didnt get talk twitter,positive
finally able lay miss already joke,negative
got really bubble blowing stuff happy,positive
watching tvim really bored,negative
jet blue stinksget boston already,negative
thought looked cool haha,positive
ill august october probably move jan im gon na miss home,negative
good morning,positive
ah get well soon tweet pain away haha,positive
hope know everyone supports media shit stupid people care think,negative
got home tired mommy dont want pack,negative
dang follow britt twitter includes name update feel special haha,positive
iight tweets gtg hit hay good night,positive
yeah yeah yippi yeay today cousin 18 whooo cindy shes beautiful,positive
sighs monday half hour away,negative
im finding funny think would even better high though near distant future,negative
cant stupid thing want sleep brother going kill dont care want close eyes im tired,negative
refuse let sleep ugh,negative
ants dont like,negative
cool go,positive
well yes true haha crosses fingers go onsalethis saturday 10 friggin nervous wont get tickets,negative
last day high school tomorrow,negative
share comic us,positive
sure true country music really,positive
going bye followers see ya tomorrow,positive
5 13th,negative
want watch transformers,negative
voting stay dare think going home,positive
still hurts,negative
least weve got sports day yey im leaving year sports days unless secondary school sports days uh oh,positive
would buy button invent within 24 hours pleaseandthankyou,negative
horrible employee,negative
bleh kicking mine put laminate,negative
face hurts,negative
think pick role models,positive
congrats lt3 love,positive
probsi found u imdbcom,negative
work unfair whole day work comes ruins day dare,negative
back clinical laboratory sciencesi hate microbiology stillhad good morning church yummy brunch __,positive
lets tomorrow least lets go couple drinks jaliscos everyone celebrating something,positive
wish im going though xxxxx,negative
cant stand oh btw stay baby retro rewind right,positive
finished rough draft easy part revision always hardest ill save tomorrow,positive
thanks trying difference accept like loath another thing hate,negative
finally got nail polish rack,positive
waking clouds sunshine boo,negative
go library dont want,negative
watchman little boring first half second half good perception many graphic novel fans thr watch,positive
lol basically,negative
muse muse muse muse muse muse fdx muse,negative
feel good right walk folks,positive
wish shed reconsider,negative
haha sore ask arab dingo friend im like genuinely laughed thick skin,negative
hello owenchecking atlanta georgia hope well,positive
watched show mental find really interesting farthe mind complex intelligent design cosmic soup,positive
studyso boring hate,negative
omg know cant wait dont think im going pass exams much revise good luck w urs x,negative
best luck dentist dread going hope treat planned afterwards,negative
oh im sorry hear ruthy,negative
wrist still hurts barely type,negative
ahh sucks sorry wallet little dweeter haha,negative
aww replace meh good ____ straight,negative
gooda bit bored tho,negative
feel like tomorrow kiss buh bie well chemistry,negative
lmao hahahahahahahah big people need loving,positive
babysittingkinda funkinda lol watching cartoons yippie lol help ok im exaggerating little still,positive
quick glamour workout amp yummy salsa amp black chicken cilantrotomato salad,positive
quotsanity happiness impossible combinationquot want happy got admit little insane,positive
im michigan want go sooooo bad parents wont let,negative
oh dear may getting flu good time catch meeting parents weekend,positive
damn fever go away,negative
busy day wow little intertubes pikes thing day wash,positive
ha forget crackberry number already lol peaceful sleep rachel ps thanks kind words pics,positive
thanks luv needed today blessings,positive
wish went tambuli wid u buti idea nxt time well blow bloons w wtr guns awe yeah,negative
anyway got ta go csi ny next asia memorize tyl see yall byeee,positive
prize,positive
seeing next update 000 think u know im coming u wake ill starting work,negative
watching stick,positive
oh ppw forgot joe trolly fro keep milky warm xd,positive
yay new computer fiddle,positive
good sleep awhile,positive
haha went high school mr miyagi joke great shoot tomorrow,positive
really cute hahaha get pair haha jkjk,positive
need dinner im still waiting fax work also food attn need partner cooks inept lol,negative
ok aint around much lately know suck try come,negative
workk today june 1st means 5days first nkotb summer show woo hooo,negative
mornin woman,positive
limit story 140 ch tell annoying wwwiamsoannoyedcom help relieve stress,positive
bases loaded pitcher came batand boo struck,negative
phone lonely none tweets coming sure twitter alltel,negative
alone lonely im lonely,negative
couple short vids pardon ridiculously crude resolution precambrian phone,negative
poor gavin arm still splint swolllen cast nothing sad depressed six year old,negative
bored need something hollywood ca,negative
intersting far christina aguilera cover bit leftfield hey thats way say goobye pretty,positive
grocery shopping im everything im bout bag lady,negative
whats wrong steph,positive
bff back town right world,positive
sad hear oscar lots wonderful anipals already crossed bridge take good care,positive
trying find somewhere nearby go see quotin loopquot looks like outside london,positive
listening 2 quotjesus wayquot jaci velaquez still addicted song,positive
grabe walang makausap loner hah,positive
really need life watching jeff dunham spark insanity shit besides livelavalive course,negative
hope best night ever fml,positive
equipment back home thats tour officially bloody good one though,negative
feeling real pretty,negative
mmm 4 ice cold beer,negative
haha love,positive
gon na watch crash bed horrible day tommorow,negative
need snuggle buddy backkk,positive
thanks well city walk want celebrate,positive
really want go ireland stay cosy cottage near pub,negative
battlefield radio wishing going us wt date,negative
update cousin surgery either tonight tomorrow appendicitis fun guys,negative
upset maxreally annoying choice want write note,negative
plot quay columbia amp could see jessica,negative
home big mac amp big dic yummy lix lips sleepy god hate home alone goodnite yall,negative
cant sleep insomnia phase begins today,negative
guess nobody wants take snot windshield date,negative
left downtownn fieldtrip sooo fun last one yearr im sure gon na miss pals,negative
oooh oooh,positive
woke 2am n cant get back sleep,negative
went shopping books point paperbag passed around bag tore open one book fell,negative
good,positive
wow bc aint got shit giovannis shrimp truck wan na live,negative
officially needs second screen,negative
start half yearly exams today werent bad sense getting worse looking forward awesome day tomorroww,negative
thats news dont want hear lol,negative
omj omj omj omj going jonas brothers,negative
oox home sick wit tha lil bro couqh couqh uqhhhh sucksz,negative
finished setting thing wanting go work,negative
yer sudden nite went shit stuck stinky feet,negative
ãââãââãââ thinks shes love ãââãââãââ,positive
u want tweet study maths miss julia hate us even,negative
taste eat well audrey,positive
need followers,negative
playing free poker bed,positive
sunburnt fuck,negative
phone lost ipod dying break lt3,negative
oh noes thats terrible guys okay,positive
sch going start soon super sianz,negative
love much,positive
insomuchpain,negative
hey youre still better people,positive
grrrr little oik dirty dirty tackled little bro got stretchered,negative
really u see pics better seats tonight need money buy stuff hows youxx,negative
search ironic,positive
flies lice looks perfectly fine tastes good,positive
really really really upset dvr didnt record datelines special last night today start good,negative
oooooooooooooow banged knee desk good lord im clumsy lately sliced finger open yesterday hit head saturday,negative
gave prescription used im still really sick saturday pain killers,negative
goodnight fellow twatters time bugger loveee want win bgt tomorrow let know shaun smith,positive
robert pattarsion ps girl celeb crush uampme 4eva,positive
safe id sad someone hurt even didnt mean,negative
okayy cost 9oo update phone get,negative
talking great love u,positive
aww lucky wont see u sooo long got ta hang sometime summer,negative
took video alan stupid camera silent mode didnt realise tt hahhaha ill facebook pictures soon,negative
get love,positive
dragons game theres rain delay,negative
9 days till schools outttttt,negative
cant stop listening clips new album lines vines trying times amazing cant wait whole thing,positive
one worst days recent memory,negative
wishing golfcourse today alas car,negative
cereal midnight snack thought honey nut cheerios,negative
wow nice havent done much day,positive
happy bday tomoz best people born may,positive
rafael pissing store got lost yelled cause couldnt find,negative
lol dont blame ill feed,positive
yup nod nod desperately need one sooo effin bored,negative
watching friday 13th daddy wont home fathers day,negative
hopes get new iphone tomorrow 3 weeks,negative
going get hair done,positive
would sing 4,negative
even possiblelmao ok ok ok sorry u left one open sarcasmluv uuuuuu,negative
great day great seeing girls,positive
desperate go venice beinnale,negative
limit story 140 ch tell annoying wwwiamsoannoyedcom help relieve stress,positive
love iphone slightly realiable stuuuuupid computer brand new amp charger dies day need,negative
major project eval reports left,negative
seriously tired super slow pc sum1 gim break,negative
im officially helping moderate fuck yeah josh ruben like dream come true wanted let,positive
dude rock thanks 4 mention xo,positive
finally going go se star trek cant wait,positive
ps saw call voice amp cough whenever talk didnt pick email,positive
youre disappointed im sorry didnt see ur tweet next time text call way shall see,negative
feeling like lil kid goofys house,negative
hell yeah im freaking nervous right aaaargh hate im listening quotyour lovequot right favorite song,negative
pick lane digesting altoids dark chocolate dipped mints good,negative
slid stairs nearly broke conical flask chewed fly whats next,negative
sankies 4 propsh amp ãââ,positive
twitstomp em,negative
ãâ²ãâãâ½ãâãâãâãâ½ãâ¾ãâãâ¾ãâºãâ¾ãâãâãâãâ½ãâ¾ãâµ,negative
welcome back looks like awesome time,positive
locked,positive
im going sick forever means im going cry forever happy tori gone,negative
go go short hair,negative
hope everyone great week let know think im crazy hating coffee xd,positive
thats awesome reading tuaw mentioning story want use 100,positive
good morning twitter,positive
thanks slisslehead add hair scratches head,positive
tired wind lord lord stomach hurts im way work,negative
phone wrosie summer,negative
know pain,negative
shiner taking bed blankets,positive
pleasure keep coming,positive
ps gradient css gradient tool sounds awesome available others,positive
ipod ran away wanted serenaded sleep lmao,negative
done w finals,positive
okay clydebank bores soo ill see brainwaves come sleep tonight l wan na something,negative
got bread mead wrong lem know come along weeks,positive
kate win apprentice,negative
hill marathon,negative
cant make working,negative
refuse work 12hrs today,negative
oh nice hope wonderfully relaxing day,positive
mmmmmy vampire amazing,positive
sick happy 13th amanda,negative
coffee time,positive
omg im sorry momo makes mad,negative
hey wheres new video dont lazy,positive
omg thursday sims 3 comes gaaaaad cant wait cant buy sux,negative
says happy mothers day moms,positive
missing vampire fix already finished breaking dawn,negative
eyes feel super heavy gross want delicious breakfast dont think im getting one,negative
today rainy windy day,negative
hectic full might might get weekend,positive
bye bye hazel could get good news gb going sun pimms new pm,positive
chupacabras69 looking looking wazzup mood crazy,negative
finally bed must say def enjoyed spent money sista made money world still goes round gnite,positive
sucks yeah people extremely cruel,negative
wondering im late many ideas bloody time,negative
china blocks twitter guess im meeting new friends china anytime soon,positive
gearing geowoodstock vii,negative
oohh got excited hahaha,positive
wishing trivium amp heaven shall burn less one month away,negative
hey gregg thanks mention,positive
posers need stop real noah noah_cyrus u posing hershe 9 coolcome please stop posing celebrities,negative
oh thank thank much lmao,positive
gay,positive
thanks wishes ok night still vpoorly see vet says later today,positive
gon na make thing ovi getting updates oldest daughter ear surgery wvu,negative
anyway im little passionate stupid laws vs proper education large population crap drivers,negative
movies maddie movie heaps good far,positive
split,negative
hello gc thought something terminal seems fun ill send news,positive
town k h c,positive
week hope might ops floor im excited,positive
changed name book governor lydia next kin publishing may next kin 328 pages edit,positive
might random want take sats see would better enough randomness back studying,negative
good make want,negative
yawn halfway monday brain slumping need chocolatecovered coffee beans,negative
susan imho,positive
isnt perfect either tom win king queen title cats already names princesses,positive
thing cat whisperer,negative
happy things seem going bad july 10 look forward nkotb cant wait,negative
keep sipping wine 3 hours fly calgary,positive
lmaoo u liar u kno dont,negative
wan na cryyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,negative
morning ooooh dear think suffereing wine flu,negative
im sorry waz jk,negative
get interview questions would love feature week resend needed,positive
ick makes sense would,positive
find joy today tomorrow promised,negative
kids always talking much eat,positive
bloodwork morning im scaaaaaared,negative
know sux,negative
sorry everyone bbq last night think got pretty messy,positive
going town selling shtuff come front lawn sod,positive
typoooo meant puppy,positive
work hardly working someone come visit kinda lonely,negative
journeys worth,positive
like figure speech youre right nothing sick,negative
ever another place like platos retreat us bet wont open phoenix metro area,negative
take hime outside dmv srsly,negative
online,negative
going sleepies xo tomorrow gon na loooong day lt3,positive
well broadband connected wednesday afternoon b still dropping flashing orange morning,positive
blue skies great weather think ill get today,negative
hahaha awww well feel better hope talk soon lt3,positive
came home work early migraine,negative
wish lived beach thats new goal live beach die,positive
sad im little sad last day school ready done itbut saying goodbye hard,negative
good start series caps,negative
loving mummy wish sleep though sighh,negative
wonders got splinter hand soo sore,negative
annoyed tears phplurkcom,negative
awww wan na meet babyyyy,positive
hope circuit training went well may passed u get back ill talk 2 u later damn gym clothes pocket,negative
thank fcb may get blackest night fables none shops love rockets one wanted,positive
pulled tendons toes got xrays ace wrap foot,negative
hello wow lots interesting tweeps twitter group,positive
gd morning folks back work gd cracking day,positive
sohotneedat least opened window mention felt bit hot british weather needs make mind x,negative
iãââ½m lvl 60 gnom thatãââ½s great,positive
piggy bank,negative
got first day yay made first day quotsomequot low moments started,positive
missing twitter folks last couple days havent much,negative
soo lucky cant wait movie come favorite 4th im really psyched one,negative
miss hearing positive podcasts always encouraging,negative
hhmm actually thought stayed bed feet pain would go away foolish pain sucks,negative
hey hey yep bit still exhausted sooo gutted couldnt make cant wait next week,negative
ttc sucksits 2 days roll service issues,negative
ohhh less 8 hours getting yay yay,negative
haha look lyk average day kirstyyy best x,positive
would landing san francisco right delay miss babii,negative
lol soooo see u 2 doug cheesy old wedding dress,positive
trying figure ill eat dinner im hungry,negative
going bed without side,negative
exam week cant wait till,negative
adwords im growing organically sites,negative
happy birthday teej,positive
needs xcode order work appropiate,negative
owh thanks hopefully seems still monday,positive
comiczeal kicks ass,negative
ive lost inspiration runescape 319 days members left cant transfer members another account,negative
u stalking didnt even know u babe sarch miss tempted straighten,negative
b careful rain,negative
rah rah youtube isnt working oh great,negative
awesome,positive
yay going home gon na buy rose mothers day,positive
look beautiful bclubonlinecom,positive
ill b home 26th need 2 visit atl soon anyway u long cuz ill gone 4 weekend,negative
driving back today feel,negative
ohhh insides,negative
fantastic last day school amazing friends,positive
time watch paradise lost 2 recount netflix happpy sunday,negative
hello world tis first tweet,positive
love bakedcheesecake time favourite cake,positive
search calgon suppose bathtub would required well ehh bubble bath,positive
little disappointed theyre caling pleasantview working initial load oh excitement nerd,negative
yesit doesnt happen muchso happengo looks like rainbummerbad hairlol gave gr8 1,positive
let know im coming sure,positive
humiliating beaten dutch cricket,positive
friends made join twitter hows everyones day far,positive
major cases mondays,negative
check theoriginalscrapboxcom best scrapbooking storage furniture,positive
ok guys almost 940pm need sleep early haha ill post something bed haha,positive
dont know love science im gon na fail tomorrows test,negative
waves safe journey home bars miss us melbournians,negative
poor beauty back vets attacked another dog park morning,negative
nowsee little,positive
doesnt really understand ai du pont grt wanxiety separation mad afterward though,negative
cant believe hell back tomorrow 1st time comes home amp wont first person see,negative
myxspacevotespacetouch hand send 2366 philippines dont forget vote guys thanks im done voting vote,positive
im office,negative
see fan twtfm niice,positive
prof 714 posted grade even quiz avg says avg quiz score 7962 class mines yet,negative
lovin new job far,positive
oh see cant hard lol yeah like 2ice year mid july time summer shopping,negative
cleaning mi casathe nice 10 mile bike ride car wash tanning gym productive morning ask,positive
djodylouise thx bunch,positive
ugh got work think im dang taxi ppl cant say well fault,negative
day taking lessons world champion neilas tomorrow beach,positive
glad diversity good lads amp well done,positive
sorry hear opportunities wide open keep head,negative
chance could skip vegas come jersey,positive
neglected one fish tanks lionfish looks sick massive water change try save,negative
aawww tanks boobie lt3 lt3 lt3 pain persist go doctor,negative
oh might say good bye plugs,positive
fun youami brielle calls mommyami hehe,positive
im going thisi news junkietime withdrawal,negative
wow run drinking smoothie king,positive
hey daniel thank much accepting request,positive
way 2 surabaya going 2 make surprise family,positive
thank go walk 2 keeshounds shortly,positive
awww yupp old loll short ok ahaha,positive
jealous ur baltimore harbor weekend 2 weeks ago,negative
sweet got thanks pretty brief mention still cool,positive
sad suck bc writing behavior x,negative
victor wrote dreaming friends including facebook note recently sucks ive never dreamed,negative
conan brian nights tonight taking jays,positive
nah tonight need able function tomorrow school work,negative
excellent tip ive got many casino cards could deal 10 deck shoe,positive
another one going glad youre okay bummer car though ay chica que mala suerte,negative
camping tonight,negative
waiting boyfriend come home,negative
ill daydream hope dream,positive
san francisco beautiful view room pretty fun tonight sleeping tomorrow,positive
exam tomrrow,negative
didnt realize deep geez give girl warning atleast,negative
chillin bri cordell lt3,positive
playing call duty 3 aw man love wireless controllers lol,positive
exercised everday weeki feel fit hahaha yes u r nerd doesnt books,positive
work early morning feeling sunburn really bad ahhhh hurts,negative
voted mtv awards,positive
wish hannah montana wont 530 1200,negative
exactly hehe inibriated,positive
live warwickshire spent day leamington friends revision amp college bday take concert tues,positive
watching west wing bravo la salle closed fridays summer nothing even gym closed,negative
rough day ended good really want see sooooo much cant wait month together night,positive
awww booo crap hate goin shopping coming home empty handed,negative
lunch,negative
need consider getting aircon 85 degrees inside houselol think landlord would get one,positive
yeeep theyre like brothers dont know people scare sometimes miss dude,negative
im dead tired barely studied science,negative
sam dave,positive
hi think guys awesome youre new favourite bad still dog since moved,positive
cry p hope good weekend,negative
get ache little finger across edge ahnd use laptop mouse pad much,negative
rip twitterfon internet ipod,negative
ok might fathers day doesnt mean kick daughter tv watching flim,negative
dancing show amazin tired,positive
wondering orioles pitched howard oh well maybe get something going 8th,negative
wondering imagine someone asked origins css,negative
ha aww thanks friend,positive
yummysounds good,positive
twitter updates arent coming phone anymore,negative
lost monopoly,negative
woke long nap good morning,positive
dont know hes sick poor kitty,negative
good time swimming jaz hope everythings sorted loveuee best friends always x,positive
salãââ½uuuu entonces friend friend mine,negative
lots homework tonight,negative
oh know ive noticed less cuteness arms pretty buff though hes lost weight,negative
saw u doubt denver,positive
jus dropped boo gone week bet awards studio n la workin hard,negative
ughh 2nd period boring dorklt3 ej,negative
love twitter family,positive
drake kills love raps,negative
indeed weve established foundation youtube start collaboration channel,positive
thanks assume seth thought criticizing wasnt would never anything hurt,positive
note ones self dont leave jello car 70 degrees turns extra sweet cool aid,positive
lot til tues grumpy gus,negative
would could,negative
heat scally lads shirts salford,positive
wants mama 2 hurry soooooo leave,negative
nervous jon kates announcement tonight,negative
sa working phone,negative
thought found tape elzhi shoutout 2003turns college work,negative
gulf coast apostolic youth camp starts tomorrow cant wait wish could whole thing got ta work day,negative
steph thought saw dustin diamond screech turned random dude fro celebs ftl,negative
want cobra starship go germany cologne lt3,positive
ok uhhaha thatd funny asked quot inspired write thatquot hes like wel uhuhhuh umquotlol,positive
oh thats horrible,negative
haha love itttt yay better calling mister j doesnt work thurs hell able go wed night,positive
prince caspian sweet dvd audio commentary funny started listening 5hrs movies much,positive
heh always good see u amp dh fun beach,positive
42nd written fuck get less ideas every day every day,negative
loves sure want body permanently want music notes foot,positive
goonies projected garage door amazing,positive
really want ring costs 2 much dam credit crunch,negative
stop yelling child dont wan na sleep yet ready ill c u like 15 mins,negative
let know goes late night tv person well least shows,negative
feel better ure u watch real genius ure oh juno thats good sick movie,positive
hahah great stuff right,positive
ones see better looking people bodies miami spring break im still daydreaming lol,positive
kinda annoyed iain whatever reason everything general,negative
dont know whats wrong,negative
thats hilarious didnt get kiss,positive
hmm im working project table names changed default despite django orm pia,positive
take cannes watch video tell watch,positive
feel ya one rest fun studying tomorrow,negative
let spend time first far inspiring like,positive
freakin miss okinawa awww,negative
glad sun shining little today perfect outfit shoes,positive
prom fun bf finally dance loved thanks drew,positive
cant believe already juneim going become aunt month,negative
need learn even though love espresso dinner dont love staying awake night,positive
oh sure lol iitslt3,positive
never understand mean people seems like would soexhausting,negative
thinking yo ub4 must catch saw u online talkin teachery stuff,positive
fools oh well one day theyll get balance right question time,positive
youll know expect,positive
try fun x,positive
finished math provincial im soo hungry tomo last exam science,negative
goodnyte evry1 catch u hours much love nessa,negative
goin last day school woo,positive
boo working friday night saturday morning,negative
morning slacked two days twittering finished good run ready start new day,positive
boo right,negative
poor u dying friday 13th u shouldnt messing wif jennas man like lt3 jenna ok im fuckng herb,negative
coke lavazza coffee calming influences,positive
keri way better vocals cant dance really shes wayyyy prettier liked keri techno pop sound,positive
hey guess marycakes one knows youre talking,positive
sudden craving visit havana im definitely overromanticising reading graham greene stillsounds magical,positive
yes sugar salt rehydrate quickly,positive
damn screwed agahahahahahain,negative
reading morning news coffee,positive
today sucked im going bed lexi im going call dadbrothermoms phone tommorow,negative
im attempting go sleep hell evening,negative
arent tired feeling weak woke half hour ago epic three hour nap,negative
cant read unless unlocked email fb,positive
hmph dell online still order thursday quotorder confirmedquot hasnt upgraded built cool,positive
yupee creepy,positive
twittering si conference college station tomorrownot anyone si people care,positive
blargh 5 hours sleep enough,negative
hangover might summer comedy year certainly best ive seen recommend,positive
great came back work find made big boo boo reports,negative
sad cant stop thinking uncle pray god bless soul,negative
today pretty good day hung twins hung dylan katrina im talking willis,positive
whoo ho back la finally missed friends family amp bfriend much love yall guys x,positive
thank rock,positive
cat guy looks like ferrell,positive
aye far,positive
know going really fun,negative
lost please help find good home,negative
drs seem think everything control unlike mom arent freaking,negative
glad one us got,positive
happy national donut day free donut krispy kreme us fatties,positive
twitter whe haha,positive
listening opie n anthony live,positive
haciendo la homework de las vacations hoho q weva lãâsten quotas miley cyrusquot hoho iãââthe song,positive
waking going finish god father part three clean house work book,negative
finishing meeting still waiting 6 people two us since 11,negative
brings back memories mom help,positive
glad liked posts tend one thing knowing direction comment tricky,positive
super duper ãâ¼ber pissed taking back sunday isnt goin detroit blink,negative
moving today without internet til thursday,negative
shit happens,negative
hard thing serger exactly,positive
loving sun,positive
good night,positive
going gym feet still sore run,negative
parents dont understand dad professor mom 2 masters degrees feel dumb dont feel bad really,negative
hi mike thanks much hope good x,positive
sowry social networking website aspects entertainmentart fashion called cybercyphercom,positive
blah thats say oh bad thing falling asleep 6 im going forever nothing,negative
bucklebury farm park feed lambs stuff,positive
win amazing much set curtains finishes room,positive
rejected,negative
playing midsrunning tourneys drinking coffee enjoying day,positive
ok im writing another one since wasnt one even earlier one happens bored,negative
wrong left eye,negative
got answers thank mr padraig enjoy weekend,positive
new twitter widget myspace,positive
looking back twitter updates wow ive pretty good updating eh actually remembered site may,positive
wants fire toasted marshmellows,negative
hey hows favorite hawaiian kickboxing star,positive
drinking come,negative
thanks sherrill,positive
neils youth group woohoo,positive
think time new drawings maybe write content sitepowered sega music tracks cereals,positive
anyway bom dia good moring,positive
yay lovin thanks verifying,positive
woho im playing boring game know installing sims got highscore yey,negative
bit woke bit headache many things son today maked worse,negative
uggghh queen size bed love goodnightt twitter world p dot bamboozleahhmazing,positive
bad nvidia card mbp 23 days repair,negative
bad,negative
perhaps best admissionrelated chat coach yet geographical disadvantages may seems,positive
somebody help change photo green yeah stupid request graphics program,negative
one sweet baby moments r precious,positive
fuggin rain class till 10 30,negative
cant wait espn tonight sucks dont hd,negative
busy honorable son number 2s 10th bday today,positive
started watch italoneim spirit,positive
damn miss u already,negative
hey dont knock cake love cake thats heroine precious 1 ladies detective agency,positive
dont know,negative
feet got et skeeters last week theyre still driving bonkers damn skeeters lt,negative
battle bands sooo fun yay local bands varada niktu definitely deserved 3rd place though,positive
scream played ipod first thing comes mind bear machineeeee lol,positive
noooo drop 9 79 hubpagescom,negative
ya guys r troublin baby face,positive
alright im tired good night,negative
chillin lil sis kenisha watchin tv,positive
hurray sis da best background pic thanks 2,positive
